lat,long
52.87061049,13.26353442
52.8706347,13.26367743
52.87069752,13.26357121
52.87078464,13.263608
52.87072182,13.26371422
52.870659,13.26382044
52.87055757,13.26417604
52.87062039,13.26406967
52.87068321,13.26396345
52.87074603,13.26385723
52.87080885,13.26375101
52.87089597,13.2637878
52.87083315,13.26389417
52.87077033,13.26400039
52.87070751,13.26410661
52.87064469,13.26421283
52.87058187,13.26431905
52.87054325,13.26456827
52.87060608,13.26446206
52.8706689,13.26435584
52.87073172,13.26424962
52.87079454,13.2641434
52.87085736,13.26403718
52.87092027,13.26393095
52.87088166,13.26418018
52.87081884,13.2642864
52.87075602,13.26439262
52.87069319,13.26449884
52.87063037,13.26460506
52.87056755,13.26471128
52.87052894,13.26496051
52.87059176,13.26485429
52.87065458,13.26474807
52.8707174,13.26464185
52.87078022,13.26453564
52.87084304,13.26442942
52.87090586,13.2643232
52.87093016,13.2644662
52.87086734,13.26457242
52.87080452,13.26467864
52.8707417,13.26478486
52.87067888,13.26489108
52.87061606,13.2649973
52.87055323,13.26510352
52.87064026,13.26514031
52.87070308,13.26503409
52.87076591,13.26492787
52.87082873,13.26482165
52.87089155,13.26471543
52.87095437,13.26460922
52.87024346,13.26470713
52.87030629,13.26460091
52.87036911,13.26449469
52.87043193,13.26438848
52.87049475,13.26428226
52.87051905,13.26442526
52.87045623,13.26453148
52.8703934,13.2646377
52.87033049,13.26474392
52.87026767,13.26485014
52.87020485,13.26495636
52.87022915,13.26509936
52.87029197,13.26499315
52.87035479,13.26488693
52.87041761,13.26478071
52.87048043,13.26467449
52.87050473,13.2648175
52.87044182,13.26492372
52.870379,13.26502994
52.87031618,13.26513616
52.87025335,13.26524237
52.87019053,13.26534859
52.87015201,13.26559781
52.87021483,13.2654916
52.87027765,13.26538538
52.87034047,13.26527916
52.87040329,13.26517295
52.87046612,13.26506673
52.87049032,13.26520974
52.8704275,13.26531596
52.86973091,13.26502148
52.86966809,13.26512785
52.86960527,13.26523406
52.86954245,13.26534028
52.86947963,13.26544649
52.8694168,13.26555271
52.86935398,13.26565892
52.86929116,13.26576513
52.86922825,13.26587135
52.86931537,13.26590814
52.86937819,13.26580193
52.86944101,13.26569571
52.86950383,13.2655895
52.86956665,13.26548328
52.86962948,13.26537707
52.8696923,13.26527085
52.86975512,13.26516464
52.86981803,13.26505842
52.86988085,13.2649522
52.8700307,13.26488278
52.86996788,13.26498899
52.86990506,13.26509521
52.86984224,13.26520143
52.86977942,13.26530764
52.86971659,13.26541386
52.86965377,13.26552007
52.86959095,13.26562629
52.86952813,13.2657325
52.86946531,13.26583872
52.86948951,13.26598172
52.86955233,13.26587551
52.86961516,13.2657693
52.86967798,13.26566308
52.8697408,13.26555687
52.86980362,13.26545065
52.86986654,13.26534443
52.86992936,13.26523822
52.86999218,13.265132
52.870055,13.26502578
52.87011782,13.26491957
52.87018064,13.26481335
52.87014203,13.26506257
52.87007921,13.26516879
52.87001639,13.26527501
52.86995356,13.26538122
52.86989074,13.26548744
52.86982792,13.26559366
52.8697651,13.26569987
52.86970228,13.26580609
52.86963945,13.2659123
52.86957663,13.26601851
52.86966366,13.26605531
52.86972648,13.26594909
52.8697893,13.26584288
52.86985213,13.26573666
52.86991495,13.26563045
52.86997786,13.26552423
52.87004068,13.26541801
52.8701035,13.2653118
52.87016633,13.26520558
52.87054767,13.26364064
52.87048485,13.26374686
52.87042203,13.26385308
52.87035921,13.2639593
52.87029639,13.26406552
52.87023357,13.26417174
52.87017066,13.26427796
52.87010784,13.26438418
52.87004502,13.2644904
52.8699822,13.26459662
52.86991938,13.26470283
52.86985655,13.26480905
52.86979373,13.26491527
52.86916543,13.26597756
52.8691026,13.26608378
52.86903978,13.26618999
52.86897696,13.2662962
52.86891413,13.26640241
52.86885131,13.26650863
52.86878849,13.26661484
52.86881278,13.26675784
52.86887561,13.26665163
52.86893843,13.26654542
52.86900125,13.26643921
52.86906408,13.26633299
52.8691269,13.26622678
52.86918972,13.26612057
52.86925254,13.26601435
52.86994367,13.26484599
52.8700065,13.26473977
52.87006932,13.2646334
52.87013214,13.26452719
52.87019496,13.26442097
52.87025778,13.26431475
52.8703206,13.26420853
52.87038342,13.26410231
52.87044624,13.26399609
52.87050906,13.26388987
52.87057188,13.26378365
52.87059618,13.26392666
52.87053336,13.26403288
52.87047054,13.2641391
52.87040772,13.26424532
52.8703449,13.26435154
52.87028199,13.26445791
52.87021917,13.26456413
52.87015635,13.26467034
52.87009352,13.26477656
52.86940248,13.26594493
52.86933966,13.26605114
52.86927675,13.26615736
52.86921393,13.26626357
52.8691511,13.26636979
52.86908828,13.266476
52.86902546,13.26658221
52.86896263,13.26668842
52.86889981,13.26679464
52.86892411,13.26693764
52.86898693,13.26683143
52.86904975,13.26672521
52.86911258,13.266619
52.8691754,13.26651279
52.86923822,13.26640658
52.86930104,13.26630037
52.86936387,13.26619415
52.86942669,13.26608794
52.86951381,13.26612473
52.86945099,13.26623094
52.86938807,13.26633716
52.86932525,13.26644337
52.86926243,13.26654959
52.8691996,13.2666558
52.86913678,13.26676201
52.86907396,13.26686822
52.86901114,13.26697458
52.86903543,13.26711758
52.86909825,13.26701137
52.86916108,13.26690516
52.8692239,13.26679895
52.86928672,13.26669274
52.86934955,13.26658652
52.86941237,13.26648016
52.86947519,13.26637395
52.86953801,13.26626774
52.86960084,13.26616152
52.87012771,13.26545481
52.87006489,13.26556102
52.87000207,13.26566724
52.86993924,13.26577345
52.86987642,13.26587967
52.8698136,13.26598588
52.86975078,13.2660921
52.86968795,13.26619831
